file,depth
file1.txt,1
file2.txt,51
file3.txt,3
file4.txt,11
file5.txt,62
file6.txt,11
file7.txt,60
file8.txt,72
file9.txt,75
file10.txt,8
file11.txt,85
file12.txt,9
file13.txt,54
file14.txt,21
file15.txt,70
file16.txt,24
file17.txt,10
file18.txt,66
file19.txt,62
file20.txt,6
file21.txt,37
file22.txt,62
file23.txt,44
file24.txt,63
file25.txt,5
file26.txt,27
file27.txt,25
file28.txt,7
file29.txt,4
file30.txt,17
file31.txt,10
file32.txt,2
file33.txt,41
file34.txt,73
file35.txt,4
file36.txt,55
file37.txt,38
file38.txt,19
file39.txt,57
file40.txt,14
file41.txt,83
file42.txt,18
file43.txt,33
file44.txt,66
file45.txt,47
file46.txt,54
file47.txt,12
file48.txt,74
file49.txt,10
file50.txt,7
file51.txt,29
file52.txt,25
file53.txt,27
file54.txt,68
file55.txt,66
file56.txt,21
file57.txt,13
file58.txt,7
file59.txt,79
file60.txt,29
file61.txt,32
file62.txt,51
file63.txt,78
file64.txt,33
file65.txt,45
file66.txt,9
file67.txt,24
file68.txt,15
file69.txt,1
file70.txt,27
file71.txt,31
file72.txt,13
file73.txt,74
file74.txt,17
file75.txt,44
file76.txt,65
file77.txt,70
file78.txt,25
file79.txt,22
file80.txt,49
file81.txt,58
file82.txt,30
file83.txt,2
file84.txt,39
file85.txt,77
file86.txt,16
file87.txt,58
file88.txt,35
file89.txt,19
file90.txt,62
file91.txt,56
file92.txt,21
file93.txt,4
file94.txt,16
file95.txt,4
file96.txt,32
file97.txt,25
file98.txt,14
file99.txt,14
