file,depth
file1.txt,1
file2.txt,18
file3.txt,3
file4.txt,38
file5.txt,18
file6.txt,59
file7.txt,10
file8.txt,2
file9.txt,17
file10.txt,7
file11.txt,17
file12.txt,19
file13.txt,20
file14.txt,72
file15.txt,3
file16.txt,45
file17.txt,4
file18.txt,11
file19.txt,22
file20.txt,11
file21.txt,5
file22.txt,1
file23.txt,4
file24.txt,5
file25.txt,22
file26.txt,43
file27.txt,9
file28.txt,41
file29.txt,12
file30.txt,20
file31.txt,20
file32.txt,1
file33.txt,11
file34.txt,51
file35.txt,23
file36.txt,29
file37.txt,47
file38.txt,45
file39.txt,15
file40.txt,10
file41.txt,11
file42.txt,16
file43.txt,17
file44.txt,20
file45.txt,24
file46.txt,21
file47.txt,9
file48.txt,3
file49.txt,64
file50.txt,4
file51.txt,4
file52.txt,20
file53.txt,52
file54.txt,68
file55.txt,43
file56.txt,11
file57.txt,4
file58.txt,17
file59.txt,1
file60.txt,7
file61.txt,6
file62.txt,7
file63.txt,6
file64.txt,26
file65.txt,3
file66.txt,12
file67.txt,2
file68.txt,25
file69.txt,44
file70.txt,2
file71.txt,4
file72.txt,21
file73.txt,26
file74.txt,11
file75.txt,7
file76.txt,52
file77.txt,56
file78.txt,11
file79.txt,77
file80.txt,4
file81.txt,4
file82.txt,3
file83.txt,62
file84.txt,22
file85.txt,8
file86.txt,50
file87.txt,71
file88.txt,4
file89.txt,3
file90.txt,1
file91.txt,31
file92.txt,30
file93.txt,15
file94.txt,5
file95.txt,6
file96.txt,7
file97.txt,23
file98.txt,18
file99.txt,8
