file,depth
file1.txt,1
file2.txt,14
file3.txt,3
file4.txt,15
file5.txt,12
file6.txt,11
file7.txt,5
file8.txt,16
file9.txt,1
file10.txt,23
file11.txt,16
file12.txt,2
file13.txt,16
file14.txt,15
file15.txt,5
file16.txt,12
file17.txt,21
file18.txt,34
file19.txt,12
file20.txt,16
file21.txt,57
file22.txt,19
file23.txt,8
file24.txt,20
file25.txt,9
file26.txt,52
file27.txt,7
file28.txt,13
file29.txt,11
file30.txt,8
file31.txt,29
file32.txt,12
file33.txt,9
file34.txt,5
file35.txt,13
file36.txt,6
file37.txt,14
file38.txt,2
file39.txt,8
file40.txt,1
file41.txt,15
file42.txt,18
file43.txt,2
file44.txt,13
file45.txt,5
file46.txt,6
file47.txt,4
file48.txt,4
file49.txt,6
file50.txt,19
file51.txt,6
file52.txt,28
file53.txt,5
file54.txt,66
file55.txt,15
file56.txt,1
file57.txt,10
file58.txt,16
file59.txt,12
file60.txt,27
file61.txt,23
file62.txt,13
file63.txt,42
file64.txt,8
file65.txt,17
file66.txt,3
file67.txt,25
file68.txt,5
file69.txt,6
file70.txt,31
file71.txt,3
file72.txt,19
file73.txt,46
file74.txt,17
file75.txt,24
file76.txt,1
file77.txt,10
file78.txt,5
file79.txt,4
file80.txt,16
file81.txt,25
file82.txt,12
file83.txt,40
file84.txt,17
file85.txt,15
file86.txt,8
file87.txt,3
file88.txt,18
file89.txt,14
file90.txt,22
file91.txt,24
file92.txt,54
file93.txt,19
file94.txt,1
file95.txt,21
file96.txt,3
file97.txt,24
file98.txt,29
file99.txt,18
