file,depth
file1.txt,1
file2.txt,5
file3.txt,2
file4.txt,7
file5.txt,4
file6.txt,1
file7.txt,7
file8.txt,1
file9.txt,6
file10.txt,4
file11.txt,13
file12.txt,2
file13.txt,10
file14.txt,1
file15.txt,10
file16.txt,1
file17.txt,1
file18.txt,11
file19.txt,6
file20.txt,5
file21.txt,3
file22.txt,5
file23.txt,5
file24.txt,6
file25.txt,4
file26.txt,1
file27.txt,2
file28.txt,12
file29.txt,1
file30.txt,1
file31.txt,4
file32.txt,2
file33.txt,3
file34.txt,3
file35.txt,3
file36.txt,2
file37.txt,2
file38.txt,3
file39.txt,3
file40.txt,9
file41.txt,3
file42.txt,4
file43.txt,6
file44.txt,6
file45.txt,1
file46.txt,1
file47.txt,5
file48.txt,9
file49.txt,5
file50.txt,6
file51.txt,2
file52.txt,3
file53.txt,6
file54.txt,4
file55.txt,8
file56.txt,7
file57.txt,7
file58.txt,1
file59.txt,3
file60.txt,3
file61.txt,1
file62.txt,2
file63.txt,3
file64.txt,1
file65.txt,9
file66.txt,15
file67.txt,1
file68.txt,1
file69.txt,2
file70.txt,2
file71.txt,7
file72.txt,6
file73.txt,2
file74.txt,14
file75.txt,7
file76.txt,6
file77.txt,4
file78.txt,2
file79.txt,4
file80.txt,4
file81.txt,4
file82.txt,6
file83.txt,1
file84.txt,8
file85.txt,1
file86.txt,1
file87.txt,3
file88.txt,18
file89.txt,6
file90.txt,1
file91.txt,1
file92.txt,5
file93.txt,2
file94.txt,2
file95.txt,9
file96.txt,6
file97.txt,3
file98.txt,3
file99.txt,2
