file,depth
file1.txt,1
file2.txt,84
file3.txt,3
file4.txt,16
file5.txt,66
file6.txt,7
file7.txt,73
file8.txt,72
file9.txt,20
file10.txt,21
file11.txt,60
file12.txt,46
file13.txt,11
file14.txt,53
file15.txt,34
file16.txt,35
file17.txt,17
file18.txt,86
file19.txt,30
file20.txt,79
file21.txt,5
file22.txt,27
file23.txt,13
file24.txt,31
file25.txt,66
file26.txt,45
file27.txt,32
file28.txt,32
file29.txt,83
file30.txt,11
file31.txt,22
file32.txt,2
file33.txt,52
file34.txt,24
file35.txt,39
file36.txt,43
file37.txt,52
file38.txt,46
file39.txt,60
file40.txt,35
file41.txt,72
file42.txt,30
file43.txt,80
file44.txt,12
file45.txt,80
file46.txt,78
file47.txt,37
file48.txt,57
file49.txt,10
file50.txt,84
file51.txt,20
file52.txt,11
file53.txt,35
file54.txt,83
file55.txt,25
file56.txt,35
file57.txt,5
file58.txt,7
file59.txt,24
file60.txt,81
file61.txt,5
file62.txt,49
file63.txt,76
file64.txt,11
file65.txt,31
file66.txt,28
file67.txt,75
file68.txt,52
file69.txt,17
file70.txt,27
file71.txt,27
file72.txt,80
file73.txt,75
file74.txt,81
file75.txt,61
file76.txt,60
file77.txt,68
file78.txt,40
file79.txt,72
file80.txt,48
file81.txt,10
file82.txt,72
file83.txt,86
file84.txt,84
file85.txt,38
file86.txt,39
file87.txt,29
file88.txt,80
file89.txt,54
file90.txt,32
file91.txt,54
file92.txt,5
file93.txt,78
file94.txt,76
file95.txt,62
file96.txt,61
file97.txt,36
file98.txt,36
file99.txt,50
