file,depth
file1.txt,1
file2.txt,2
file3.txt,3
file4.txt,4
file5.txt,1
file6.txt,5
file7.txt,31
file8.txt,8
file9.txt,1
file10.txt,3
file11.txt,44
file12.txt,17
file13.txt,10
file14.txt,1
file15.txt,46
file16.txt,3
file17.txt,5
file18.txt,15
file19.txt,9
file20.txt,2
file21.txt,4
file22.txt,43
file23.txt,10
file24.txt,16
file25.txt,5
file26.txt,32
file27.txt,18
file28.txt,11
file29.txt,10
file30.txt,11
file31.txt,7
file32.txt,35
file33.txt,1
file34.txt,6
file35.txt,41
file36.txt,3
file37.txt,17
file38.txt,13
file39.txt,9
file40.txt,8
file41.txt,3
file42.txt,10
file43.txt,2
file44.txt,2
file45.txt,36
file46.txt,8
file47.txt,5
file48.txt,4
file49.txt,16
file50.txt,4
file51.txt,3
file52.txt,1
file53.txt,6
file54.txt,2
file55.txt,1
file56.txt,1
file57.txt,9
file58.txt,22
file59.txt,3
file60.txt,1
file61.txt,16
file62.txt,8
file63.txt,10
file64.txt,1
file65.txt,2
file66.txt,5
file67.txt,8
file68.txt,2
file69.txt,11
file70.txt,5
file71.txt,12
file72.txt,5
file73.txt,7
file74.txt,56
file75.txt,4
file76.txt,7
file77.txt,4
file78.txt,6
file79.txt,4
file80.txt,4
file81.txt,2
file82.txt,4
file83.txt,7
file84.txt,9
file85.txt,17
file86.txt,44
file87.txt,2
file88.txt,7
file89.txt,12
file90.txt,1
file91.txt,36
file92.txt,3
file93.txt,7
file94.txt,8
file95.txt,18
file96.txt,16
file97.txt,9
file98.txt,3
file99.txt,4
